sample_date,year,quad_id,depth_cm,avg_height_cm
5/18/2022,2021,1,95,35
5/18/2022,2021,2,77,34
5/18/2022,2021,3,94,40
5/18/2022,2021,4,105,24
5/18/2022,2021,5,105,42
5/18/2022,2021,6,110,40
5/18/2022,2021,7,94,40
5/18/2022,2021,8,70,40
5/18/2022,2021,9,83,40
5/18/2022,2021,10,82,44
5/18/2022,2021,11,89,37
5/18/2022,2021,12,120,
5/18/2022,2021,13,85,32
5/18/2022,2021,14,95,33
5/18/2022,2021,15,98,39
5/18/2022,2021,16,82,38
5/18/2022,2021,17,83,36
5/18/2022,2021,18,72,42
5/18/2022,2021,19,93,20
5/18/2022,2021,20,96,44
5/18/2022,2021,21,68,45
6/1/2022,2021,1,85,68
6/1/2022,2021,2,82,63
6/1/2022,2021,3,97,78
6/1/2022,2021,4,96,80
6/1/2022,2021,5,105,80
6/1/2022,2021,6,120,67
6/1/2022,2021,7,181,65
6/1/2022,2021,8,91,85
6/1/2022,2021,9,87,87
6/1/2022,2021,10,90,78
6/1/2022,2021,11,165,75
6/1/2022,2021,12,92,68
6/1/2022,2021,13,77,69
6/1/2022,2021,14,101,84
6/1/2022,2021,15,99,65
6/1/2022,2021,16,87,77
6/1/2022,2021,17,87,83
6/1/2022,2021,18,75,70
6/1/2022,2021,19,125,65
6/1/2022,2021,20,43,45
6/1/2022,2021,20,43,45
6/1/2022,2021,21,134,85
6/14/2022,2021,1,99,124
6/14/2022,2021,2,90,113
6/14/2022,2021,3,105,138
6/14/2022,2021,4,99,119
6/14/2022,2021,5,116,165
6/14/2022,2021,6,119,150
6/14/2022,2021,7,159,130
6/14/2022,2021,8,81,103
6/14/2022,2021,9,90,112
6/14/2022,2021,10,146,130
6/14/2022,2021,11,95,123
6/14/2022,2021,12,109,128
6/14/2022,2021,13,90,95
6/14/2022,2021,14,90,140
6/14/2022,2021,15,88,107
6/14/2022,2021,16,100,112
6/14/2022,2021,17,78,92
6/14/2022,2021,18,71,98
6/14/2022,2021,19,157,120
6/14/2022,2021,20,171,
6/14/2022,2021,21,181,80
6/28/2022,2021,1,96,123
6/28/2022,2021,2,96,125
6/28/2022,2021,3,94,143
6/28/2022,2021,4,101,138
6/28/2022,2021,5,108,148
6/28/2022,2021,6,126,175
6/28/2022,2021,7,102,142
6/28/2022,2021,8,83,121
6/28/2022,2021,9,96,118
6/28/2022,2021,10,112,
6/28/2022,2021,11,122,152
6/28/2022,2021,12,128,
6/28/2022,2021,13,89,123
6/28/2022,2021,14,93,135
6/28/2022,2021,15,92,138
6/28/2022,2021,16,91,129
6/28/2022,2021,17,94,122
6/28/2022,2021,18,79,108
6/28/2022,2021,19,119,150
6/28/2022,2021,20,117,162
6/28/2022,2021,21,190,170
7/13/2022,2021,1,92,139
7/13/2022,2021,2,81,106
7/13/2022,2021,3,100,146
7/13/2022,2021,4,95,138
7/13/2022,2021,5,95,145
7/13/2022,2021,6,103,128
7/13/2022,2021,7,112,118
7/13/2022,2021,8,82,119
7/13/2022,2021,9,83,118
7/13/2022,2021,10,92,124
7/13/2022,2021,11,103,144
7/13/2022,2021,12,136,
7/13/2022,2021,13,92,137
7/13/2022,2021,14,101,
7/13/2022,2021,15,90,139
7/13/2022,2021,16,88,142
7/13/2022,2021,17,76,112
7/13/2022,2021,18,70,106
7/13/2022,2021,19,119,137
7/13/2022,2021,20,166,170
7/13/2022,2021,21,172,185
7/26/2022,2021,1,86,142
7/26/2022,2021,2,88,150
7/26/2022,2021,3,95,131
7/26/2022,2021,4,95,127
7/26/2022,2021,5,117,159
7/26/2022,2021,6,105,155
7/26/2022,2021,7,108,149
7/26/2022,2021,8,76,124
7/26/2022,2021,9,87,126
7/26/2022,2021,10,84,137
7/26/2022,2021,11,108,142
7/26/2022,2021,12,106,
7/26/2022,2021,13,81,
7/26/2022,2021,14,119,
7/26/2022,2021,15,93,149
7/26/2022,2021,16,91,134
7/26/2022,2021,17,87,113
7/26/2022,2021,18,67,106
7/26/2022,2021,19,100,138
7/26/2022,2021,20,128,
7/26/2022,2021,21,107,127
8/10/2022,2021,1,87,159
8/10/2022,2021,2,91,121
8/10/2022,2021,3,92,147
8/10/2022,2021,4,91,138
8/10/2022,2021,5,110,183
8/10/2022,2021,6,114,179
8/10/2022,2021,7,115,178
8/10/2022,2021,8,73,145
8/10/2022,2021,9,84,145
8/10/2022,2021,10,92,144
8/10/2022,2021,11,115,157
8/10/2022,2021,12,110,
8/10/2022,2021,13,87,
8/10/2022,2021,14,95,165
8/10/2022,2021,15,90,162
8/10/2022,2021,16,86,158
8/10/2022,2021,17,80,143
8/10/2022,2021,18,67,137
8/10/2022,2021,19,118,181
8/10/2022,2021,20,121,172
8/10/2022,2021,21,103,158
5/17/2022,2022,1,60,13
5/17/2022,2022,2,60,8
5/17/2022,2022,3,70,9
5/17/2022,2022,4,68,6
5/17/2022,2022,5,81,15
5/17/2022,2022,6,125,17
5/17/2022,2022,7,103,
5/17/2022,2022,8,57,14
5/17/2022,2022,9,61,11
5/17/2022,2022,10,62,16
5/17/2022,2022,11,115,8
5/17/2022,2022,12,74,9
5/17/2022,2022,13,52,
5/17/2022,2022,14,70,10
5/17/2022,2022,15,71,9
5/17/2022,2022,16,62,12
5/17/2022,2022,17,53,14
5/17/2022,2022,18,40,16
5/17/2022,2022,19,94,12
5/17/2022,2022,20,75,7
5/17/2022,2022,21,126,
6/8/2022,2022,1,80,62
6/8/2022,2022,2,79,55
6/8/2022,2022,3,87,76
6/8/2022,2022,4,100,88
6/8/2022,2022,5,105,75
6/8/2022,2022,6,110,105
6/8/2022,2022,7,109,84
6/8/2022,2022,8,80,75
6/8/2022,2022,9,83,74
6/8/2022,2022,10,85,75
6/8/2022,2022,11,103,82
6/8/2022,2022,12,105,45
6/8/2022,2022,13,80,62
6/8/2022,2022,14,90,80
6/8/2022,2022,15,94,74
6/8/2022,2022,16,80,78
6/8/2022,2022,17,78,86
6/8/2022,2022,18,69,72
6/8/2022,2022,19,103,85
6/8/2022,2022,20,159,
6/8/2022,2022,21,167,65
6/20/2022,2022,1,87,90
6/20/2022,2022,2,72,88
6/20/2022,2022,3,91,88
6/20/2022,2022,4,92,118
6/20/2022,2022,5,105,124
6/20/2022,2022,6,120,147
6/20/2022,2022,7,101,110
6/20/2022,2022,8,75,70
6/20/2022,2022,9,77,94
6/20/2022,2022,10,91,111
6/20/2022,2022,11,88,84
6/20/2022,2022,12,100,85
6/20/2022,2022,13,91,111
6/20/2022,2022,14,100,122
6/20/2022,2022,15,94,115
6/20/2022,2022,16,84,91
6/20/2022,2022,17,86,92
6/20/2022,2022,18,70,84
6/20/2022,2022,19,105,
6/20/2022,2022,20,94,112
6/20/2022,2022,21,130,140
7/7/2022,2022,1,85,153
7/7/2022,2022,2,80,108
7/7/2022,2022,3,94,147
7/7/2022,2022,4,91,148
7/7/2022,2022,5,92,154
7/7/2022,2022,6,105,165
7/7/2022,2022,7,100,137
7/7/2022,2022,8,94,123
7/7/2022,2022,9,85,120
7/7/2022,2022,10,100,125
7/7/2022,2022,11,144,178
7/7/2022,2022,12,110,132
7/7/2022,2022,13,89,136
7/7/2022,2022,14,110,147
7/7/2022,2022,15,100,142
7/7/2022,2022,16,86,123
7/7/2022,2022,17,80,122
7/7/2022,2022,18,75,100
7/7/2022,2022,19,110,154
7/7/2022,2022,20,113,134
7/7/2022,2022,21,146,178
7/20/2022,2022,1,91,146
7/20/2022,2022,2,86,165
7/20/2022,2022,3,94,152
7/20/2022,2022,4,92,118
7/20/2022,2022,5,105,139
7/20/2022,2022,6,115,150
7/20/2022,2022,7,110,143
7/20/2022,2022,8,85,130
7/20/2022,2022,9,90,122
7/20/2022,2022,10,100,135
7/20/2022,2022,11,120,160
7/20/2022,2022,12,122,146
7/20/2022,2022,13,105,
7/20/2022,2022,14,111,132
7/20/2022,2022,15,100,146
7/20/2022,2022,16,90,133
7/20/2022,2022,17,88,138
7/20/2022,2022,18,110,129
7/20/2022,2022,19,105,128
7/20/2022,2022,20,150,
7/20/2022,2022,21,178,206
8/1/2022,2022,1,86,135
8/1/2022,2022,2,93,151
8/1/2022,2022,3,93,149
8/1/2022,2022,4,100,138
8/1/2022,2022,5,104,149
8/1/2022,2022,6,120,167
8/1/2022,2022,7,115,166
8/1/2022,2022,8,77,120
8/1/2022,2022,9,75,121
8/1/2022,2022,10,73,151
8/1/2022,2022,11,107,162
8/1/2022,2022,12,112,
8/1/2022,2022,13,84,
8/1/2022,2022,14,105,157
8/1/2022,2022,15,90,154
8/1/2022,2022,16,86,140
8/1/2022,2022,17,80,146
8/1/2022,2022,18,69,138
8/1/2022,2022,19,107,157
8/1/2022,2022,20,95,142
8/1/2022,2022,21,145,
8/17/2022,2022,1,92,148
8/17/2022,2022,2,91,164
8/17/2022,2022,3,94,163
8/17/2022,2022,4,116,131
8/17/2022,2022,5,100,190
8/17/2022,2022,6,115,185
8/17/2022,2022,7,101,173
8/17/2022,2022,8,78,135
8/17/2022,2022,9,82,158
8/17/2022,2022,10,90,170
8/17/2022,2022,11,109,172
8/17/2022,2022,12,110,
8/17/2022,2022,13,83,
8/17/2022,2022,14,125,
8/17/2022,2022,15,92,170
8/17/2022,2022,16,70,159
8/17/2022,2022,17,78,148
8/17/2022,2022,18,70,129
8/17/2022,2022,19,60,151
8/17/2022,2022,20,120,162
8/17/2022,2022,21,160,210
